Date,Price
11/28/2024,"6,023.75"
11/27/2024,"6,015.00"
11/26/2024,"6,038.25"
11/25/2024,"6,006.50"
11/22/2024,"5,987.00"
11/21/2024,"5,970.50"
11/20/2024,"5,937.75"
11/19/2024,"5,938.75"
11/18/2024,"5,920.00"
11/15/2024,"5,896.50"
11/14/2024,"5,978.25"
11/13/2024,"6,016.00"
11/12/2024,"6,013.00"
11/11/2024,"6,031.75"
11/8/2024,"6,025.25"
11/7/2024,"6,003.75"
11/6/2024,"5,958.25"
11/5/2024,"5,812.25"
11/4/2024,"5,743.25"
11/1/2024,"5,758.25"
10/31/2024,"5,738.50"
10/30/2024,"5,852.00"
10/29/2024,"5,871.00"
10/28/2024,"5,861.50"
10/25/2024,"5,846.00"
10/24/2024,"5,849.00"
10/23/2024,"5,837.75"
10/22/2024,"5,892.50"
10/21/2024,"5,896.25"
10/18/2024,"5,906.00"
10/17/2024,"5,887.00"
10/16/2024,"5,887.00"
10/15/2024,"5,862.75"
10/14/2024,"5,908.25"
10/11/2024,"5,859.75"
10/10/2024,"5,829.00"
10/9/2024,"5,841.25"
10/8/2024,"5,800.50"
10/7/2024,"5,744.75"
10/4/2024,"5,800.00"
10/3/2024,"5,749.50"
10/2/2024,"5,760.25"
10/1/2024,"5,759.75"
9/30/2024,"5,814.25"
9/27/2024,"5,791.25"
9/26/2024,"5,804.50"
9/25/2024,"5,779.00"
9/24/2024,"5,792.00"
9/23/2024,"5,776.75"
9/20/2024,"5,762.00"
9/19/2024,"5,778.00"
9/18/2024,"5,680.00"
9/17/2024,"5,700.25"
9/16/2024,"5,699.25"
9/13/2024,"5,691.00"
9/12/2024,"5,662.50"
9/11/2024,"5,621.00"
9/10/2024,"5,562.50"
9/9/2024,"5,538.00"
9/6/2024,"5,477.00"
9/5/2024,"5,570.75"
9/4/2024,"5,588.75"
9/3/2024,"5,601.25"
8/30/2024,"5,722.50"
8/29/2024,"5,670.50"
8/28/2024,"5,670.50"
8/27/2024,"5,705.25"
8/26/2024,"5,697.25"
8/23/2024,"5,712.50"
8/22/2024,"5,653.75"
8/21/2024,"5,701.25"
8/20/2024,"5,679.75"
8/19/2024,"5,690.50"
8/16/2024,"5,638.00"
8/15/2024,"5,627.00"
8/14/2024,"5,534.25"
8/13/2024,"5,515.50"
8/12/2024,"5,425.75"
8/9/2024,"5,425.75"
8/8/2024,"5,403.25"
8/7/2024,"5,280.75"
8/6/2024,"5,319.75"
8/5/2024,"5,269.00"
8/3/2024,"5,358.00"
8/2/2024,"5,430.75"
8/1/2024,"5,539.75"
7/31/2024,"5,620.00"
7/30/2024,"5,533.25"
7/29/2024,"5,564.25"
7/27/2024,"5,499.25"
7/26/2024,"5,560.25"
7/25/2024,"5,502.25"
7/24/2024,"5,533.25"
7/23/2024,"5,662.50"
7/22/2024,"5,674.25"
7/20/2024,"5,552.75"
7/19/2024,"5,615.75"
7/18/2024,"5,657.00"
7/17/2024,"5,702.00"
7/16/2024,"5,781.25"
7/15/2024,"5,746.25"
7/13/2024,"5,667.50"
7/12/2024,"5,728.25"
7/11/2024,"5,702.25"
7/10/2024,"5,751.75"
7/9/2024,"5,694.50"
7/8/2024,"5,688.75"
7/5/2024,"5,684.75"
7/4/2024,"5,588.25"
7/3/2024,"5,653.25"
7/2/2024,"5,631.75"
7/1/2024,"5,596.50"
6/29/2024,"5,532.25"
6/28/2024,"5,584.50"
6/27/2024,"5,609.50"
6/26/2024,"5,607.00"
6/25/2024,"5,600.50"
6/24/2024,"5,579.75"
6/22/2024,"5,536.50"
6/21/2024,"5,597.00"
6/20/2024,"5,607.75"
6/19/2024,"5,563.00"
6/18/2024,"5,622.25"
6/17/2024,"5,607.25"
6/14/2024,"5,563.50"
6/13/2024,"5,565.75"
6/12/2024,"5,553.50"
6/11/2024,"5,509.75"
6/10/2024,"5,497.00"
6/7/2024,"5,481.00"
6/6/2024,"5,487.75"
6/5/2024,"5,489.50"
6/4/2024,"5,426.00"
6/3/2024,"5,419.25"
5/31/2024,"5,417.75"
5/30/2024,"5,374.25"
5/29/2024,"5,406.00"
5/28/2024,"5,447.25"
5/27/2024,"5,326.00"
5/26/2024,"5,315.75"
5/24/2024,"5,443.50"
5/23/2024,"5,406.50"
5/22/2024,"5,449.75"
5/21/2024,"5,467.00"
5/20/2024,"5,452.50"
5/18/2024,"5,327.75"
5/17/2024,"5,447.00"
5/16/2024,"5,439.75"
5/15/2024,"5,452.00"
5/14/2024,"5,387.00"
5/13/2024,"5,362.25"
5/11/2024,"5,241.50"
5/10/2024,"5,362.50"
5/9/2024,"5,353.50"
5/8/2024,"5,327.50"
5/7/2024,"5,328.50"
5/6/2024,"5,320.75"
5/4/2024,"5,161.50"
5/3/2024,"5,267.25"
5/2/2024,"5,202.75"
5/1/2024,"5,158.00"
4/30/2024,"5,180.25"
4/29/2024,"5,260.25"
4/27/2024,"5,131.75"
4/26/2024,"5,245.50"
4/25/2024,"5,195.50"
4/24/2024,"5,220.50"
4/23/2024,"5,219.25"
4/22/2024,"5,159.00"
4/20/2024,"5,003.50"
4/19/2024,"5,114.00"
4/18/2024,"5,161.00"
4/17/2024,"5,175.00"
4/16/2024,"5,205.00"
4/15/2024,"5,216.25"
4/13/2024,"5,166.50"
4/12/2024,"5,281.50"
4/11/2024,"5,358.75"
4/10/2024,"5,324.25"
4/9/2024,"5,373.00"
4/8/2024,"5,367.25"
4/5/2024,"5,366.00"
