Date,SpotPrice
11/27/2024,"5,998.74"
11/26/2024,"6,021.63"
11/25/2024,"5,987.37"
11/22/2024,"5,969.34"
11/21/2024,"5,948.71"
11/20/2024,"5,917.11"
11/19/2024,"5,916.98"
11/18/2024,"5,893.62"
11/15/2024,"5,870.62"
11/14/2024,"5,949.17"
11/13/2024,"5,985.38"
11/12/2024,"5,983.99"
11/11/2024,"6,001.35"
11/8/2024,"5,995.54"
11/7/2024,"5,973.10"
11/6/2024,"5,929.04"
11/5/2024,"5,782.76"
11/4/2024,"5,712.69"
11/1/2024,"5,728.80"
10/31/2024,"5,705.45"
10/30/2024,"5,813.67"
10/29/2024,"5,832.92"
10/28/2024,"5,823.52"
10/25/2024,"5,808.12"
10/24/2024,"5,809.86"
10/23/2024,"5,797.42"
10/22/2024,"5,851.20"
10/21/2024,"5,853.98"
10/18/2024,"5,864.67"
10/17/2024,"5,841.47"
10/16/2024,"5,842.47"
10/15/2024,"5,815.26"
10/14/2024,"5,859.85"
10/11/2024,"5,815.03"
10/10/2024,"5,780.05"
10/9/2024,"5,792.04"
10/8/2024,"5,751.13"
10/7/2024,"5,695.94"
10/4/2024,"5,751.07"
10/3/2024,"5,699.94"
10/2/2024,"5,709.54"
10/1/2024,"5,708.75"
9/30/2024,"5,762.48"
9/27/2024,"5,738.17"
9/26/2024,"5,745.37"
9/25/2024,"5,722.26"
9/24/2024,"5,732.93"
9/23/2024,"5,718.57"
9/20/2024,"5,702.55"
9/19/2024,"5,713.64"
9/18/2024,"5,618.26"
9/17/2024,"5,634.58"
9/16/2024,"5,633.09"
9/13/2024,"5,626.02"
9/12/2024,"5,595.76"
9/11/2024,"5,554.13"
9/10/2024,"5,495.52"
9/9/2024,"5,471.05"
9/6/2024,"5,408.42"
9/5/2024,"5,503.41"
9/4/2024,"5,520.07"
9/3/2024,"5,528.93"
8/30/2024,"5,648.40"
8/29/2024,"5,591.96"
8/28/2024,"5,592.18"
8/27/2024,"5,625.80"
8/26/2024,"5,616.84"
8/23/2024,"5,634.61"
8/22/2024,"5,570.64"
8/21/2024,"5,620.85"
8/20/2024,"5,597.12"
8/19/2024,"5,608.25"
8/16/2024,"5,554.25"
8/15/2024,"5,543.22"
8/14/2024,"5,455.21"
8/13/2024,"5,434.43"
8/12/2024,"5,344.39"
8/9/2024,"5,344.16"
8/8/2024,"5,319.31"
8/7/2024,"5,199.50"
8/6/2024,"5,240.03"
8/5/2024,"5,186.33"
8/2/2024,"5,346.56"
8/1/2024,"5,446.68"
7/31/2024,"5,522.30"
7/30/2024,"5,436.44"
7/29/2024,"5,463.54"
7/26/2024,"5,459.10"
7/25/2024,"5,399.22"
7/24/2024,"5,427.13"
7/23/2024,"5,555.74"
7/22/2024,"5,564.41"
7/19/2024,"5,505.00"
7/18/2024,"5,544.59"
7/17/2024,"5,588.27"
7/16/2024,"5,667.20"
7/15/2024,"5,631.22"
7/12/2024,"5,615.35"
