Date,SpotPrice,FuturesPrice,TheoreticalPrice,PriceDifference
2024-11-27,5998.74,6015.0,6010.080083835616,4.9199161643837215
2024-11-26,6021.63,6038.25,6033.508283835617,4.741716164383433
2024-11-25,5987.37,6006.5,5999.672815068493,6.827184931506963
2024-11-22,5969.34,5987.0,5983.077659178082,3.9223408219177145
2024-11-21,5948.71,5970.5,5962.889116986302,7.610883013698185
2024-11-20,5917.11,5937.75,5931.700134246575,6.049865753425365
2024-11-19,5916.98,5938.75,5932.056140821917,6.6938591780826755
2024-11-18,5893.62,5920.0,5909.121027945205,10.878972054794758
2024-11-15,5870.62,5896.5,5887.508084931507,8.991915068492744
2024-11-14,5949.17,5978.25,5966.773023561644,11.47697643835636
2024-11-13,5985.38,6016.0,6003.582114520548,12.417885479451797
2024-11-12,5983.99,6013.0,6002.6797221917805,10.320277808219544
2024-11-11,6001.35,6031.75,6020.58720410959,11.162795890410052
2024-11-08,5995.54,6025.25,6016.236932602739,9.013067397260784
2024-11-07,5973.1,6003.75,5994.210408219179,9.539591780820956
2024-11-06,5929.04,5958.25,5950.482007671232,7.767992328767832
2024-11-05,5782.76,5812.25,5804.14829041096,8.101709589040183
2024-11-04,5712.69,5743.25,5734.288663561643,8.961336438356739
2024-11-01,5728.8,5758.25,5751.872153424658,6.377846575342119
2024-10-31,5705.45,5738.5,5728.89705479452,9.602945205479955
2024-10-30,5813.67,5852.0,5838.039630410959,13.960369589040965
2024-10-29,5832.92,5871.0,5857.849740273972,13.150259726027798
2024-10-28,5823.52,5861.5,5848.88821041096,12.6117895890402
2024-10-25,5808.12,5846.0,5834.853264657534,11.146735342465945
2024-10-24,5809.86,5849.0,5837.078796164384,11.921203835616325
2024-10-23,5797.42,5837.75,5825.05701589041,12.692984109589815
2024-10-22,5851.2,5892.5,5879.5743123287675,12.925687671232481
2024-10-21,5853.98,5896.25,5882.848942465753,13.40105753424723
2024-10-18,5864.67,5906.0,5895.037743287671,10.96225671232878
2024-10-17,5841.47,5887.0,5872.197732602739,14.802267397260948
2024-10-16,5842.47,5887.0,5873.683195890411,13.316804109588702
2024-10-15,5815.26,5862.75,5846.805793972602,15.94420602739774
2024-10-14,5859.85,5908.25,5892.119310958905,16.13068904109514
2024-10-11,5815.03,5859.75,5848.486336986301,11.263663013699443
2024-10-10,5780.05,5829.0,5813.780154794521,15.219845205479032
2024-10-09,5792.04,5841.25,5826.316181917808,14.933818082192374
2024-10-08,5751.13,5800.5,5785.63678,14.863220000000183
2024-10-07,5695.94,5744.75,5730.583799452053,14.166200547946573
2024-10-04,5751.07,5800.0,5787.467182739726,12.532817260273987
2024-10-03,5699.94,5749.5,5736.482081095891,13.017918904109138
2024-10-02,5709.54,5760.25,5746.612903561644,13.637096438355911
2024-10-01,5708.75,5759.75,5746.28698630137,13.463013698629766
2024-09-30,5762.48,5814.25,5800.843907945205,13.406092054795408
2024-09-27,5738.17,5791.25,5777.7869545205485,13.463045479451466
2024-09-26,5745.37,5804.5,5785.50888630137,18.991113698630215
2024-09-25,5722.26,5779.0,5762.7077556164395,16.2922443835605
2024-09-24,5732.93,5792.0,5773.924376164384,18.07562383561617
2024-09-23,5718.57,5776.75,5759.931711780822,16.818288219177703
2024-09-20,5702.55,5762.0,5702.55,59.44999999999982
2024-09-19,5713.64,5778.0,5714.109614246577,63.89038575342329
2024-09-18,5618.26,5680.0,5619.183549589041,60.81645041095908
2024-09-17,5634.58,5700.25,5635.969348493151,64.2806515068487
2024-09-16,5633.09,5699.25,5634.94197479452,64.30802520547968
2024-09-13,5626.02,5691.0,5629.256888219179,61.74311178082098
2024-09-12,5595.76,5662.5,5599.439403835617,63.06059616438324
2024-09-11,5554.13,5621.0,5558.2385345205485,62.761465479451545
2024-09-10,5495.52,5562.5,5500.036865753425,62.463134246574555
2024-09-09,5471.05,5538.0,5475.996428767124,62.00357123287631
2024-09-06,5408.42,5477.0,5414.64338739726,62.356612602739915
2024-09-05,5503.41,5570.75,5510.195026027398,60.554973972602056
2024-09-04,5520.07,5588.75,5527.3292701369855,61.42072986301446
2024-09-03,5528.93,5601.25,5536.655354246576,64.59464575342372
2024-08-30,5648.4,5722.5,5658.149293150685,64.35070684931543
2024-08-29,5591.96,5670.5,5602.071489315068,68.42851068493201
2024-08-28,5592.18,5670.5,5602.751518356165,67.74848164383457
2024-08-27,5625.8,5705.25,5636.897468493151,68.35253150684912
2024-08-26,5616.84,5697.25,5628.381452054795,68.86854794520514
2024-08-23,5634.61,5712.5,5647.577321643835,64.9226783561653
2024-08-22,5570.64,5653.75,5583.917963835617,69.83203616438277
2024-08-21,5620.85,5701.25,5634.709630136987,66.54036986301344
2024-08-20,5597.12,5679.75,5611.381155068493,68.36884493150683
2024-08-19,5608.25,5690.5,5623.000465753425,67.49953424657542
2024-08-16,5554.25,5638.0,5570.2279794520555,67.77202054794452
2024-08-15,5543.22,5627.0,5559.621856438356,67.37814356164381
2024-08-14,5455.21,5534.25,5471.799816712329,62.45018328767128
